id,SMILES,Tg,FFV,Tc,Density,Rg
657445738,*CCOCCOCCOCCOCCOCCOC(=O)c1cc(OCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc(C(=O)O*)c1,,0.34770487,,,
406335515,*Sc1ccc(C(=O)CNCCCCCCCCNCC(=O)c2ccc(*)cc2)cc1,,0.37618331,,,
75381552,*c1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc(C(C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc(C(C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,0.40978294,,,
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,,0.37464529,0.2056666666666666,,
390859311,*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)CC(=O)N(*)C4=S)cc3)c2)cc1,,0.36549422,,,
974951002,*CC(CC)C(CC)COC(=O)c1ccc(C(=O)O*)cc1,,0.35322539,,,
1206071463,*CC(*)(C)C(=O)OCCN(CC)c1ccc(N=Nc2ccc(S(C)(=O)=O)cc2)cc1,,0.37573,,,
1264421130,*CC(*)c1cc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)ccc1-c1ccc(C(=O)OC(C)CCCCCC)cc1,,0.37966374,,0.947782381,10.01820949
2092024077,*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)C(=O)c5ccc(*)cc5)cc4)cc3)c3ccccc3-c3ccccc32)cc1,,0.3923538,,,
234298821,*Nc1ccc(-c2ccc(-c3cc(-c4ccc(N*)cc4)cc(-c4ccc(-c5ccc(C)cc5)cc4)c3)cc2)cc1,,0.35439862,,,
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,0.3314918,,,
1051950887,*Oc1ccc(CC(NC(=O)Cc2ccc(OC(=O)CCCCC(*)=O)cc2)C(=O)OCCCCCCCC)cc1,,0.35265054,,,
616073908,*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2)cc1,,0.34249238,,,
1958554605,*CC(C[Si](*)(C)C)c1cccc2ccccc12,,0.37751563,,,
599456393,*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*)cc1,,,0.359,,
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0.35917558,,,
